Training Size,Classifier,F1 Score
0.1,Decision Tree,0.7287367891293407
0.2,Decision Tree,0.7461346633416459
0.3,Decision Tree,0.7434161023325808
0.4,Decision Tree,0.7674185463659147
0.5,Decision Tree,0.7667587245794627
0.6,Decision Tree,0.7676767676767676
0.7,Decision Tree,0.7764764515325193
0.8,Decision Tree,0.7816901408450704
0.9,Decision Tree,0.7795255930087391
0.1,K-Nearest Neighbors,0.576464983325393
0.2,K-Nearest Neighbors,0.6055816250926154
0.3,K-Nearest Neighbors,0.6290009699321047
0.4,K-Nearest Neighbors,0.6493072145246057
0.5,K-Nearest Neighbors,0.657225156024964
0.6,K-Nearest Neighbors,0.6668245323229931
0.7,K-Nearest Neighbors,0.6809917355371901
0.8,K-Nearest Neighbors,0.687382297551789
0.9,K-Nearest Neighbors,0.6971962616822429
0.1,Support Vector Machine,0.6288436552620181
0.2,Support Vector Machine,0.6299178555987895
0.3,Support Vector Machine,0.6300540540540541
0.4,Support Vector Machine,0.6303737308273925
0.5,Support Vector Machine,0.6302375809935205
0.6,Support Vector Machine,0.6305333621248111
0.7,Support Vector Machine,0.6306928556011224
0.8,Support Vector Machine,0.6305567544238239
0.9,Support Vector Machine,0.6305567544238239
0.1,Gaussian Naive Bayes,0.7339045287637698
0.2,Gaussian Naive Bayes,0.7164634146341463
0.3,Gaussian Naive Bayes,0.7212701612903227
0.4,Gaussian Naive Bayes,0.7235853780671007
0.5,Gaussian Naive Bayes,0.7239478957915831
0.6,Gaussian Naive Bayes,0.729481775353335
0.7,Gaussian Naive Bayes,0.7305507532724129
0.8,Gaussian Naive Bayes,0.732775590551181
0.9,Gaussian Naive Bayes,0.7312992125984252
0.1,Multi-Layer Perceptron,0.6640638261755221
0.2,Multi-Layer Perceptron,0.44451219512195117
0.3,Multi-Layer Perceptron,0.6330872774641771
0.4,Multi-Layer Perceptron,0.001016776817488561
0.5,Multi-Layer Perceptron,0.019124308002013087
0.6,Multi-Layer Perceptron,0.3588317107093185
0.7,Multi-Layer Perceptron,0.6961977186311787
0.8,Multi-Layer Perceptron,0.4950382761553728
0.9,Multi-Layer Perceptron,0.31201248049922
